,precision,recall,f1-score,support
anger,0.7394366197183099,0.7521489971346705,0.7457386363636364,698.0
disgust,0.7419354838709677,0.6957983193277311,0.7181266261925412,595.0
fear,0.8037190082644629,0.6800699300699301,0.7367424242424242,572.0
happy,0.7239583333333334,0.7897727272727273,0.7554347826086957,176.0
sad,0.7870503597122303,0.7629009762900977,0.7747875354107648,717.0
surprise,0.7784200385356455,0.8460732984293193,0.8108379327646764,955.0
neutral,0.7528735632183908,0.793939393939394,0.7728613569321534,660.0
accuracy,0.7651497827578322,0.7651497827578322,0.7651497827578322,0.7651497827578322
macro avg,0.7610562009504773,0.7601005203519814,0.7592184706449847,4373.0
weighted avg,0.7659101553395596,0.7651497827578322,0.7642683474564791,4373.0
