,precision,recall,f1-score,support
anger,0.5904761904761905,0.62,0.6048780487804878,100.0
disgust,0.9494949494949495,0.94,0.9447236180904522,100.0
fear,0.5538461538461539,0.36,0.43636363636363634,100.0
happy,0.8243243243243243,0.8531468531468531,0.8384879725085911,143.0
sad,0.4336283185840708,0.4666666666666667,0.44954128440366975,105.0
surprise,0.7706422018348624,0.84,0.8038277511961722,100.0
neutral,0.45871559633027525,0.5,0.4784688995215311,100.0
accuracy,0.6644385026737968,0.6644385026737968,0.6644385026737968,0.6644385026737968
macro avg,0.6544468192701182,0.6542590742590743,0.6508987444092201,748.0
weighted avg,0.6627364452245307,0.6644385026737968,0.6603366448213126,748.0
