experiment_id,model,phase,epoch,train_loss,val_loss,train_acc,val_acc,lr,epoch_time_s,timestamp
cross_dataset_2026-08-16_16-29-46_FER2013,convnext_v2_base,warm,1,1.810643,1.484468,0.305017,0.51738,3.00e-05,57.99,2026-08-16_16-30-46
cross_dataset_2026-08-16_16-29-46_FER2013,convnext_v2_base,warm,2,1.397519,1.320593,0.566221,0.586898,3.00e-07,47.4,2026-08-16_16-31-34
cross_dataset_2026-08-16_16-29-46_FER2013,convnext_v2_base,finetune,3,1.293079,1.272377,0.62408,0.612299,8.67e-06,57.57,2026-08-16_16-32-31
cross_dataset_2026-08-16_16-29-46_FER2013,convnext_v2_base,finetune,4,1.254346,1.215341,0.653846,0.652406,7.71e-06,56.23,2026-08-16_16-33-28
cross_dataset_2026-08-16_16-29-46_FER2013,convnext_v2_base,finetune,5,1.185367,1.200329,0.695318,0.635027,6.26e-06,54.93,2026-08-16_16-34-23
cross_dataset_2026-08-16_16-29-46_FER2013,convnext_v2_base,finetune,6,1.021331,1.17243,0.734783,0.660428,4.55e-06,54.31,2026-08-16_16-35-17
cross_dataset_2026-08-16_16-29-46_FER2013,convnext_v2_base,finetune,7,0.986693,1.149815,0.754181,0.675134,2.85e-06,55.29,2026-08-16_16-36-12
cross_dataset_2026-08-16_16-29-46_FER2013,convnext_v2_base,finetune,8,0.956536,1.146186,0.772575,0.668449,1.40e-06,58.8,2026-08-16_16-37-11
cross_dataset_2026-08-16_16-29-46_FER2013,convnext_v2_base,finetune,9,0.940554,1.144234,0.78194,0.668449,4.30e-07,59.13,2026-08-16_16-38-10
cross_dataset_2026-08-16_16-29-46_FER2013,convnext_v2_base,finetune,10,0.942997,1.14318,0.782609,0.668449,9.00e-08,59.27,2026-08-16_16-39-10
