,precision,recall,f1-score,support
anger,0.8125,0.841726618705036,0.8268551236749117,139.0
disgust,0.6422018348623854,0.5,0.5622489959839357,140.0
fear,0.8333333333333334,0.75,0.7894736842105263,100.0
happy,0.9642470205850487,0.9338929695697796,0.9488272921108742,953.0
sad,0.7922705314009661,0.8324873096446701,0.8118811881188119,394.0
surprise,0.8315018315018315,0.8764478764478765,0.8533834586466166,259.0
neutral,0.8055045871559633,0.8557504873294347,0.8298676748582231,513.0
accuracy,0.8590872698158527,0.8590872698158527,0.8590872698158527,0.8590872698158527
macro avg,0.8116513055485041,0.7986150373852567,0.8032196310862714,2498.0
weighted avg,0.8590247869389842,0.8590872698158527,0.8580693036596613,2498.0
