experiment_id,model,phase,epoch,train_loss,val_loss,train_acc,val_acc,lr,epoch_time_s,timestamp
cross_dataset_2026-08-16_16-29-46_RAFDB,convnext_v2_base,warm,1,1.384506,1.001952,0.567424,0.757006,3.00e-05,155.45,2026-08-16_16-56-07
cross_dataset_2026-08-16_16-29-46_RAFDB,convnext_v2_base,warm,2,1.016596,0.852743,0.765242,0.817454,3.00e-07,154.15,2026-08-16_16-58-42
cross_dataset_2026-08-16_16-29-46_RAFDB,convnext_v2_base,finetune,3,0.941113,0.823328,0.802383,0.829063,8.66e-06,187.66,2026-08-16_17-01-49
cross_dataset_2026-08-16_16-29-46_RAFDB,convnext_v2_base,finetune,4,0.910689,0.800126,0.819101,0.841473,7.70e-06,186.02,2026-08-16_17-04-55
cross_dataset_2026-08-16_16-29-46_RAFDB,convnext_v2_base,finetune,5,0.868291,0.778977,0.839023,0.85028,6.25e-06,183.26,2026-08-16_17-07-59
cross_dataset_2026-08-16_16-29-46_RAFDB,convnext_v2_base,finetune,6,0.704068,0.768742,0.886475,0.857086,4.55e-06,196.26,2026-08-16_17-11-15
cross_dataset_2026-08-16_16-29-46_RAFDB,convnext_v2_base,finetune,7,0.673703,0.767868,0.901992,0.857486,2.84e-06,182.12,2026-08-16_17-14-17
cross_dataset_2026-08-16_16-29-46_RAFDB,convnext_v2_base,finetune,8,0.65706,0.765909,0.910401,0.854684,1.40e-06,182.32,2026-08-16_17-17-20
cross_dataset_2026-08-16_16-29-46_RAFDB,convnext_v2_base,finetune,9,0.648118,0.76382,0.916208,0.858287,4.29e-07,181.9,2026-08-16_17-20-21
cross_dataset_2026-08-16_16-29-46_RAFDB,convnext_v2_base,finetune,10,0.63967,0.762535,0.920713,0.858687,9.00e-08,180.85,2026-08-16_17-23-22
